state_fips,county_fips,fips,county_name
27,001,27001,Aitkin
27,003,27003,Anoka
27,005,27005,Becker
27,007,27007,Beltrami
27,009,27009,Benton
27,011,27011,Big Stone
27,013,27013,Blue Earth
27,015,27015,Brown
27,017,27017,Carlton
27,019,27019,Carver
27,021,27021,Cass
27,023,27023,Chippewa
27,025,27025,Chisago
27,027,27027,Clay
27,029,27029,Clearwater
27,031,27031,Cook
27,033,27033,Cottonwood
27,035,27035,Crow Wing
27,037,27037,Dakota
27,039,27039,Dodge
27,041,27041,Douglas
27,043,27043,Faribault
27,045,27045,Fillmore
27,047,27047,Freeborn
27,049,27049,Goodhue
27,051,27051,Grant
27,053,27053,Hennepin
27,055,27055,Houston
27,057,27057,Hubbard
27,059,27059,Isanti
27,061,27061,Itasca
27,063,27063,Jackson
27,065,27065,Kanabec
27,067,27067,Kandiyohi
27,069,27069,Kittson
27,071,27071,Koochiching
27,073,27073,Lac qui Parle
27,075,27075,Lake
27,077,27077,Lake of the Woods
27,079,27079,Le Sueur
27,081,27081,Lincoln
27,083,27083,Lyon
27,085,27085,McLeod
27,087,27087,Mahnomen
27,089,27089,Marshall
27,091,27091,Martin
27,093,27093,Meeker
27,095,27095,Mille Lacs
27,097,27097,Morrison
27,099,27099,Mower
27,101,27101,Murray
27,103,27103,Nicollet
27,105,27105,Nobles
27,107,27107,Norman
27,109,27109,Olmsted
27,111,27111,Otter Tail
27,113,27113,Pennington
27,115,27115,Pine
27,117,27117,Pipestone
27,119,27119,Polk
27,121,27121,Pope
27,123,27123,Ramsey
27,125,27125,Red Lake
27,127,27127,Redwood
27,129,27129,Renville
27,131,27131,Rice
27,133,27133,Rock
27,135,27135,Roseau
27,137,27137,St. Louis
27,139,27139,Scott
27,141,27141,Sherburne
27,143,27143,Sibley
27,145,27145,Stearns
27,147,27147,Steele
27,149,27149,Stevens
27,151,27151,Swift
27,153,27153,Todd
27,155,27155,Traverse
27,157,27157,Wabasha
27,159,27159,Wadena
27,161,27161,Waseca
27,163,27163,Washington
27,165,27165,Watonwan
27,167,27167,Wilkin
27,169,27169,Winona
27,171,27171,Wright
27,173,27173,Yellow Medicine
